oid;category
2796;1-Slovensko-Jižní Slovensko
2796;1-Slovensko-void
30;7-Slovensko-Vysoké Tatry
30;7-Slovensko-void
227;1-?eská republika-P?ehrada Se?
227;1-?eská republika-void
3395;7-Slovensko-Nízké Tatry
3395;7-Slovensko-void
2037;3-Slovensko-Skelné Teplice
2037;3-Slovensko-void
627;3-Slovensko-Skelné Teplice
627;3-Slovensko-void
3402;7-Slovensko-Nízké Tatry
3402;7-Slovensko-void
316;3-Slovensko-Podhájska
316;3-Slovensko-void
2400;3-Slovensko-Velký Meder
2400;3-Slovensko-void
3421;3-Slovensko-Velký Meder
3421;3-Slovensko-void
3423;3-Slovensko-Pieš?any
3423;3-Slovensko-void
2812;3-Slovensko-Tren?ianské Teplice
2812;3-Slovensko-void
3424;1-?eská republika-Orlická p?ehrada
3424;1-?eská republika-void
3425;1-?eská republika-Orlická p?ehrada
3425;1-?eská republika-void
3426;1-?eská republika-Orlická p?ehrada
3426;1-?eská republika-void
3427;1-?eská republika-Orlická p?ehrada
3427;1-?eská republika-void
3011;2-Francie-void
287;3-Slovensko-Tur?ianské Teplice
287;3-Slovensko-void
1665;3-Slovensko-Tur?ianské Teplice
1665;3-Slovensko-void
2683;3-Slovensko-Tur?ianské Teplice
2683;3-Slovensko-void
2662;3-Slovensko-Tur?ianské Teplice
2662;3-Slovensko-void
1483;3-Slovensko-Tur?ianské Teplice
1483;3-Slovensko-void
2685;3-Slovensko-Tur?ianské Teplice
2685;3-Slovensko-void
2686;3-Slovensko-Tur?ianské Teplice
2686;3-Slovensko-void
293;3-Slovensko-Patince
293;3-Slovensko-void
3431;3-Slovensko-Patince
3431;3-Slovensko-void
1237;3-Slovensko-Podhájska
1237;3-Slovensko-void
1100;3-Slovensko-Dunajská Streda
1100;3-Slovensko-void
772;3-Slovensko-Podhájska
772;3-Slovensko-void
485;3-?eská republika-Františkovy Lázn?
485;3-?eská republika-void
274;3-Slovensko-Slia?
274;3-Slovensko-void
1628;3-Slovensko-Slia?
1628;3-Slovensko-void
2605;3-Slovensko-Slia?
2605;3-Slovensko-void
3434;3-Slovensko-Slia?
3434;3-Slovensko-void
609;3-?eská republika-Františkovy Lázn?
609;3-?eská republika-void
609;3-?eská republika, víkendové pobyty-Františkovy Lázn?
609;3-?eská republika, víkendové pobyty-void
2725;6-N?mecko-void
1566;2-Francie-void
1087;3-?eská republika-Karlova Studánka
1087;3-?eská republika-void
1087;3-?eská republika, víkendové pobyty-Karlova Studánka
1087;3-?eská republika, víkendové pobyty-void
596;3-?eská republika-Karlova Studánka
596;3-?eská republika-void
3354;3-?eská republika-Karlova Studánka
3354;3-?eská republika-void
3439;3-Slovensko-Pieš?any
3439;3-Slovensko-void
2676;3-Slovensko-Tren?ianské Teplice
2676;3-Slovensko-void
2202;3-Slovensko-Tren?ianské Teplice
2202;3-Slovensko-void
2480;3-Slovensko-Tren?ianské Teplice
2480;3-Slovensko-void
2208;3-Slovensko-Tren?ianské Teplice
2208;3-Slovensko-void
3282;2-Anglie-void
2817;3-Slovensko-Tren?ianské Teplice
2817;3-Slovensko-void
2818;3-Slovensko-Tren?ianské Teplice
2818;3-Slovensko-void
2816;3-Slovensko-Tren?ianské Teplice
2816;3-Slovensko-void
1434;3-Slovensko-Bojnice
1434;3-Slovensko-void
3445;3-Slovensko-Bojnice
3445;3-Slovensko-void
500;3-Slovensko-Štúrovo
500;3-Slovensko-void
1802;3-?eská republika-Mariánské Lázn?
1802;3-?eská republika-void
605;3-?eská republika-Mariánské Lázn?
605;3-?eská republika-void
605;3-?eská republika, víkendové pobyty-Mariánské Lázn?
605;3-?eská republika, víkendové pobyty-void
741;3-?eská republika-Mariánské Lázn?
741;3-?eská republika-void
741;3-?eská republika, víkendové pobyty-Mariánské Lázn?
741;3-?eská republika, víkendové pobyty-void
1512;3-?eská republika-Mariánské Lázn?
1512;3-?eská republika-void
1512;3-?eská republika, víkendové pobyty-Mariánské Lázn?
1512;3-?eská republika, víkendové pobyty-void
2618;2-Špan?lsko-void
1024;2-Skotsko-void
1655;3-Ma?arsko-Zalakaros
1655;3-Ma?arsko-void
2300;3-Ma?arsko-Bükfürdö
2300;3-Ma?arsko-void
1432;3-Ma?arsko-Harkány
1432;3-Ma?arsko-void
3458;7-Slovensko-Liptovský Mikuláš
3458;7-Slovensko-Nízké Tatry
3458;7-Slovensko-void
269;3-Ma?arsko-Sarvár
269;3-Ma?arsko-void
483;3-Ma?arsko-Hevíz
483;3-Ma?arsko-void
3460;7-Slovensko-Vysoké Tatry
3460;7-Slovensko-void
973;3-Ma?arsko-Bükfürdö
973;3-Ma?arsko-void
249;3-Ma?arsko-Bükfürdö
249;3-Ma?arsko-void
250;3-Ma?arsko-Bükfürdö
250;3-Ma?arsko-void
970;3-Ma?arsko-Mosonmagyaróvár
970;3-Ma?arsko-void
3365;3-Ma?arsko-Mosonmagyaróvár
3365;3-Ma?arsko-void
2434;3-Ma?arsko-Mosonmagyaróvár
2434;3-Ma?arsko-void
3462;3-Slovensko-Patince
3462;3-Slovensko-void
3234;3-Slovensko-Pieš?any
3234;3-Slovensko-void
3471;4-Olympijské hry-void
2702;3-?eská republika-Lázn? Bohdane?
2702;3-?eská republika-void
2703;3-?eská republika-Lázn? Bohdane?
2703;3-?eská republika-void
984;7-?eská republika-Krkonoše
984;7-?eská republika-void
3473;3-?eská republika-Pod?brady
3473;3-?eská republika-void
1472;7-Rakousko-void
1475;7-Rakousko-void
2519;3-Autokarem do termál?-Slovensko - Podhájska
2519;3-Autokarem do termál?-void
2489;3-Autokarem do termál?-Slovensko - Podhájska
2489;3-Autokarem do termál?-void
2522;3-Autokarem do termál?-Slovensko - Podhájska
2522;3-Autokarem do termál?-void
2520;3-Autokarem do termál?-Slovensko - Podhájska
2520;3-Autokarem do termál?-void
